,ClusterName
5741,Pyramidal L2-3 L5
2158,Pyramidal L2-3 L5
4633,Pyramidal L2-3 L5
6107,Pyramidal L2-3 L5
3328,Pyramidal L2-3 L5
4131,Pyramidal L2-3 L5
5759,Pyramidal L2-3 L5
3469,Pyramidal L2-3 L5
5721,Pyramidal L2-3 L5
3878,Pyramidal L2-3 L5
5134,Pyramidal L2-3 L5
5990,Pyramidal L2-3 L5
6133,Pyramidal L2-3 L5
6190,Pyramidal L2-3 L5
3624,Pyramidal L2-3 L5
354,Pyramidal L2-3 L5
1710,Pyramidal L2-3 L5
3836,Pyramidal L2-3 L5
1678,Pyramidal L2-3 L5
4900,Pyramidal L2-3 L5
5171,Pyramidal L2-3 L5
3359,Pyramidal L2-3 L5
20,Pyramidal L2-3 L5
5658,Pyramidal L2-3 L5
309,Pyramidal L2-3 L5
1717,Pyramidal L2-3 L5
3536,Pyramidal L2-3 L5
5748,Pyramidal L2-3 L5
222,Pyramidal L2-3 L5
4949,Pyramidal L2-3 L5
4695,Pyramidal L2-3 L5
4757,Pyramidal L2-3 L5
206,Pyramidal L2-3 L5
3452,Pyramidal L2-3 L5
3363,Pyramidal L2-3 L5
247,Pyramidal L2-3 L5
3454,Pyramidal L2-3 L5
4985,Pyramidal L2-3 L5
4639,Pyramidal L2-3 L5
3727,Pyramidal L2-3 L5
127,Pyramidal L2-3 L5
6165,Pyramidal L2-3 L5
4783,Pyramidal L2-3 L5
3782,Pyramidal L2-3 L5
7345,Pyramidal L2-3 L5
3816,Pyramidal L2-3 L5
5132,Pyramidal L2-3 L5
5832,Pyramidal L2-3 L5
4676,Pyramidal L2-3 L5
313,Pyramidal L2-3 L5
6102,Pyramidal L2-3 L5
5668,Pyramidal L2-3 L5
5764,Pyramidal L2-3 L5
3808,Pyramidal L2-3 L5
218,Pyramidal L2-3 L5
1682,Pyramidal L2-3 L5
271,Pyramidal L2-3 L5
1820,Pyramidal L2-3 L5
1644,Pyramidal L2-3 L5
1732,Pyramidal L2-3 L5
6056,Pyramidal L2-3 L5
7351,Pyramidal L2-3 L5
3946,Pyramidal L2-3 L5
7357,Pyramidal L2-3 L5
50,Pyramidal L2-3 L5
1622,Pyramidal L2-3 L5
1607,Pyramidal L2-3 L5
3941,Pyramidal L2-3 L5
296,Pyramidal L2-3 L5
279,Pyramidal L2-3 L5
4634,Pyramidal L2-3 L5
6741,Pyramidal L2-3 L5
1739,Pyramidal L2-3 L5
138,Pyramidal L2-3 L5
1838,Pyramidal L2-3 L5
3799,Pyramidal L2-3 L5
5729,Pyramidal L2-3 L5
3795,Pyramidal L2-3 L5
184,Pyramidal L2-3 L5
1793,Pyramidal L2-3 L5
716,Pyramidal L2-3 L5
3451,Pyramidal L2-3 L5
270,Pyramidal L2-3 L5
1642,Pyramidal L2-3 L5
6761,Pyramidal L2-3 L5
3435,Pyramidal L2-3 L5
4915,Pyramidal L2-3 L5
4666,Pyramidal L2-3 L5
5885,Pyramidal L2-3 L5
1705,Pyramidal L2-3 L5
525,Pyramidal L2-3 L5
6184,Pyramidal L2-3 L5
4664,Pyramidal L2-3 L5
1738,Pyramidal L2-3 L5
5708,Pyramidal L2-3 L5
269,Pyramidal L2-3 L5
308,Pyramidal L2-3 L5
6764,Pyramidal L2-3 L5
4836,Pyramidal L2-3 L5
6049,Pyramidal L2-3 L5
5683,Pyramidal L2-3 L5
3822,Pyramidal L2-3 L5
1659,Pyramidal L2-3 L5
3933,Pyramidal L2-3 L5
2180,Pyramidal L2-3 L5
26,Pyramidal L2-3 L5
5680,Pyramidal L2-3 L5
48,Pyramidal L2-3 L5
6086,Pyramidal L2-3 L5
1630,Pyramidal L2-3 L5
2121,Pyramidal L2-3 L5
4617,Pyramidal L2-3 L5
219,Pyramidal L2-3 L5
1620,Pyramidal L2-3 L5
725,Pyramidal L2-3 L5
5769,Pyramidal L2-3 L5
3397,Pyramidal L2-3 L5
2166,Pyramidal L2-3 L5
4632,Pyramidal L2-3 L5
5734,Pyramidal L2-3 L5
2139,Pyramidal L2-3 L5
3909,Pyramidal L2-3 L5
6124,Pyramidal L2-3 L5
3513,Pyramidal L2-3 L5
3388,Pyramidal L2-3 L5
3390,Pyramidal L2-3 L5
6109,Pyramidal L2-3 L5
84,Pyramidal L2-3 L5
5760,Pyramidal L2-3 L5
773,Pyramidal L2-3 L5
264,Pyramidal L2-3 L5
3445,Pyramidal L2-3 L5
1756,Pyramidal L2-3 L5
234,Pyramidal L2-3 L5
3924,Pyramidal L2-3 L5
5082,Pyramidal L2-3 L5
5010,Pyramidal L2-3 L5
3523,Pyramidal L2-3 L5
4833,Pyramidal L2-3 L5
6162,Pyramidal L2-3 L5
3389,Pyramidal L2-3 L5
4686,Pyramidal L2-3 L5
6219,Pyramidal L2-3 L5
129,Pyramidal L2-3 L5
3827,Pyramidal L2-3 L5
4839,Pyramidal L2-3 L5
5673,Pyramidal L2-3 L5
1709,Pyramidal L2-3 L5
646,Pyramidal L2-3 L5
2171,Pyramidal L2-3 L5
91,Pyramidal L2-3 L5
239,Pyramidal L2-3 L5
4575,Pyramidal L2-3 L5
3530,Pyramidal L2-3 L5
724,Pyramidal L2-3 L5
5652,Pyramidal L2-3 L5
94,Pyramidal L2-3 L5
108,Pyramidal L2-3 L5
3937,Pyramidal L2-3 L5
2100,Pyramidal L2-3 L5
254,Pyramidal L2-3 L5
2175,Pyramidal L2-3 L5
4635,Pyramidal L2-3 L5
5710,Pyramidal L2-3 L5
5090,Pyramidal L2-3 L5
2138,Pyramidal L2-3 L5
5751,Pyramidal L2-3 L5
55,Pyramidal L2-3 L5
1648,Pyramidal L2-3 L5
3851,Pyramidal L2-3 L5
5032,Pyramidal L2-3 L5
4805,Pyramidal L2-3 L5
750,Pyramidal L2-3 L5
1783,Pyramidal L2-3 L5
6131,Pyramidal L2-3 L5
4628,Pyramidal L2-3 L5
238,Pyramidal L2-3 L5
287,Pyramidal L2-3 L5
6213,Pyramidal L2-3 L5
5715,Pyramidal L2-3 L5
3805,Pyramidal L2-3 L5
5046,Pyramidal L2-3 L5
1640,Pyramidal L2-3 L5
5747,Pyramidal L2-3 L5
4638,Pyramidal L2-3 L5
4749,Pyramidal L2-3 L5
3531,Pyramidal L2-3 L5
4611,Pyramidal L2-3 L5
363,Pyramidal L2-3 L5
4577,Pyramidal L2-3 L5
3403,Pyramidal L2-3 L5
277,Pyramidal L2-3 L5
3607,Pyramidal L2-3 L5
5934,Pyramidal Kcnip2
1757,Pyramidal Kcnip2
618,Pyramidal Kcnip2
7054,Pyramidal Kcnip2
4978,Pyramidal Kcnip2
4692,Pyramidal Kcnip2
628,Pyramidal Kcnip2
3753,Pyramidal Kcnip2
455,Pyramidal Kcnip2
1746,Pyramidal Kcnip2
3645,Pyramidal Kcnip2
3529,Pyramidal Kcnip2
392,Pyramidal Kcnip2
5945,Pyramidal Kcnip2
5056,Pyramidal Kcnip2
5050,Pyramidal Kcnip2
2097,Pyramidal Kcnip2
1771,Pyramidal Kcnip2
2081,Pyramidal Kcnip2
476,Pyramidal Kcnip2
4901,Pyramidal Kcnip2
477,Pyramidal Kcnip2
1932,Pyramidal Kcnip2
3644,Pyramidal Kcnip2
6036,Pyramidal Kcnip2
666,Pyramidal Kcnip2
568,Pyramidal Kcnip2
3703,Pyramidal Kcnip2
532,Pyramidal Kcnip2
4813,Pyramidal L3-4
426,Pyramidal L3-4
102,Pyramidal L3-4
5864,Pyramidal L3-4
3630,Pyramidal L3-4
7065,Pyramidal L3-4
548,Pyramidal L3-4
1699,Pyramidal L3-4
1848,Pyramidal L3-4
1773,Pyramidal L3-4
6755,Pyramidal L3-4
93,Pyramidal L3-4
4722,Pyramidal L3-4
126,Pyramidal L3-4
434,Pyramidal L3-4
1905,Pyramidal L3-4
1980,Pyramidal L3-4
5707,Pyramidal L3-4
517,Pyramidal L3-4
5831,Pyramidal L3-4
4837,Pyramidal L3-4
1865,Pyramidal L3-4
5915,Pyramidal L3-4
6191,Pyramidal L3-4
3623,Pyramidal L3-4
3571,Pyramidal L3-4
1968,Pyramidal L3-4
1727,Pyramidal L3-4
1880,Pyramidal L3-4
385,Pyramidal L3-4
4844,Pyramidal L3-4
3555,Pyramidal L3-4
3638,Pyramidal L3-4
456,Pyramidal L3-4
1830,Pyramidal L3-4
338,Pyramidal L3-4
6043,Pyramidal L3-4
1822,Pyramidal L3-4
1780,Pyramidal L3-4
3667,Pyramidal L3-4
6758,Pyramidal L3-4
6079,Pyramidal L3-4
1725,Pyramidal L3-4
1735,Pyramidal L3-4
479,Pyramidal L3-4
1854,Pyramidal L3-4
4864,Pyramidal L3-4
1826,Pyramidal L3-4
404,Pyramidal L3-4
3687,Pyramidal L3-4
6018,Pyramidal L3-4
1718,Pyramidal L3-4
3595,Pyramidal L3-4
5924,Pyramidal L3-4
4959,Pyramidal L3-4
1839,Pyramidal L3-4
5770,Pyramidal L3-4
3443,Pyramidal L3-4
3444,Pyramidal L3-4
1754,Pyramidal L3-4
1872,Pyramidal L3-4
1889,Pyramidal L3-4
1766,Pyramidal L3-4
5903,Pyramidal L3-4
291,Pyramidal L3-4
1812,Pyramidal L3-4
507,Pyramidal L3-4
466,Pyramidal L3-4
335,Pyramidal L3-4
409,Pyramidal L3-4
3617,Pyramidal L3-4
1686,Pyramidal L3-4
361,Pyramidal L3-4
3748,Pyramidal L3-4
3573,Pyramidal L3-4
4762,Pyramidal L3-4
1857,Pyramidal L3-4
351,Pyramidal L3-4
1869,Pyramidal L3-4
5925,Pyramidal L3-4
441,Pyramidal L3-4
4829,Pyramidal L3-4
347,Pyramidal L3-4
535,Pyramidal L3-4
3548,Pyramidal L3-4
1851,Pyramidal L3-4
90,Pyramidal L3-4
1809,Pyramidal L3-4
4810,Pyramidal L3-4
538,Pyramidal L3-4
3460,Pyramidal L3-4
5913,Pyramidal L3-4
5835,Pyramidal L3-4
1792,Pyramidal L3-4
3603,Pyramidal L3-4
3614,Pyramidal L3-4
642,Pyramidal L3-4
1929,Pyramidal L3-4
1794,Pyramidal L3-4
4791,Pyramidal L3-4
5816,Pyramidal L3-4
412,Pyramidal L3-4
4761,Pyramidal L3-4
7050,Pyramidal L3-4
1702,Pyramidal L3-4
516,Pyramidal L3-4
4753,Pyramidal L3-4
1704,Pyramidal L3-4
3598,Pyramidal L3-4
5203,Pyramidal L3-4
4896,Pyramidal L3-4
5906,Pyramidal L3-4
4856,Pyramidal L3-4
3631,Pyramidal L3-4
565,Pyramidal L3-4
1913,Pyramidal L3-4
502,Pyramidal L3-4
1736,Pyramidal L3-4
322,Pyramidal L3-4
3715,Pyramidal L3-4
1833,Pyramidal L3-4
391,Pyramidal L3-4
4698,Pyramidal L3-4
1758,Pyramidal L3-4
5880,Pyramidal L3-4
7044,Pyramidal L3-4
461,Pyramidal L3-4
1887,Pyramidal L3-4
122,Pyramidal L3-4
4860,Pyramidal L3-4
3557,Pyramidal L3-4
6032,Pyramidal L3-4
4777,Pyramidal L3-4
292,Pyramidal L3-4
320,Pyramidal L3-4
5918,Pyramidal L3-4
5693,Pyramidal L3-4
6026,Pyramidal L3-4
1903,Pyramidal L3-4
1810,Pyramidal L3-4
5936,Pyramidal L3-4
4804,Pyramidal L3-4
7036,Pyramidal L3-4
6014,Pyramidal L3-4
4877,Pyramidal L3-4
1819,Pyramidal L3-4
4851,Pyramidal L3-4
1737,Pyramidal L3-4
5826,Pyramidal L3-4
6119,Pyramidal L3-4
64,Pyramidal L3-4
5957,Pyramidal L3-4
136,Pyramidal L3-4
3442,Pyramidal L3-4
4715,Pyramidal L3-4
4742,Pyramidal L3-4
77,Pyramidal L3-4
518,Pyramidal L3-4
3710,pyramidal L4
4958,pyramidal L4
2058,pyramidal L4
563,pyramidal L4
377,pyramidal L4
3549,pyramidal L4
3636,pyramidal L4
530,pyramidal L4
2114,pyramidal L4
651,pyramidal L4
437,pyramidal L4
386,pyramidal L4
5971,pyramidal L4
639,pyramidal L4
2064,pyramidal L4
571,pyramidal L4
3411,pyramidal L4
1950,pyramidal L4
5991,pyramidal L4
3633,pyramidal L4
5956,pyramidal L4
641,pyramidal L4
709,pyramidal L4
111,pyramidal L4
2062,pyramidal L4
537,pyramidal L4
680,pyramidal L4
3616,pyramidal L4
390,pyramidal L4
5871,pyramidal L4
549,pyramidal L4
2024,pyramidal L4
6031,pyramidal L4
536,pyramidal L4
1775,pyramidal L4
3619,pyramidal L4
531,pyramidal L4
4802,pyramidal L4
539,pyramidal L4
2020,pyramidal L4
1967,pyramidal L4
4721,pyramidal L4
1948,pyramidal L4
528,pyramidal L4
1933,pyramidal L4
616,pyramidal L4
1755,pyramidal L4
3968,pyramidal L4
2077,pyramidal L4
2082,pyramidal L4
5855,pyramidal L4
2075,pyramidal L4
3739,pyramidal L4
397,pyramidal L4
635,pyramidal L4
4729,pyramidal L4
5978,pyramidal L4
1939,pyramidal L4
1966,pyramidal L4
648,pyramidal L4
383,pyramidal L4
5058,pyramidal L4
609,pyramidal L4
7063,pyramidal L4
1955,pyramidal L4
3591,pyramidal L4
4795,pyramidal L4
3594,pyramidal L4
4935,pyramidal L4
4815,pyramidal L4
2021,pyramidal L4
1781,pyramidal L4
417,pyramidal L4
2211,pyramidal L4
1798,pyramidal L4
416,pyramidal L4
597,pyramidal L4
148,pyramidal L4
2023,pyramidal L4
2088,pyramidal L4
2025,pyramidal L4
2162,pyramidal L4
4716,pyramidal L4
372,pyramidal L4
1825,pyramidal L4
5942,pyramidal L4
2044,pyramidal L4
3656,pyramidal L4
2160,pyramidal L4
1953,pyramidal L4
3628,pyramidal L4
5881,pyramidal L4
1837,pyramidal L4
486,pyramidal L4
5993,pyramidal L4
104,pyramidal L4
2019,pyramidal L4
463,pyramidal L4
569,pyramidal L4
658,pyramidal L4
414,pyramidal L4
515,pyramidal L4
3601,pyramidal L4
602,pyramidal L4
7057,pyramidal L4
4975,pyramidal L4
67,pyramidal L4
2099,pyramidal L4
1749,pyramidal L4
1945,pyramidal L4
5979,pyramidal L4
1954,pyramidal L4
588,pyramidal L4
3786,pyramidal L4
4775,pyramidal L4
3602,pyramidal L4
584,pyramidal L4
7092,pyramidal L4
121,pyramidal L4
653,pyramidal L4
5834,pyramidal L4
410,pyramidal L4
4952,pyramidal L4
7055,pyramidal L4
367,pyramidal L4
649,pyramidal L4
523,pyramidal L4
620,pyramidal L4
5972,pyramidal L4
711,pyramidal L4
2007,pyramidal L4
1961,pyramidal L4
2117,pyramidal L4
2008,pyramidal L4
5941,pyramidal L4
605,pyramidal L4
5902,pyramidal L4
2029,pyramidal L4
2102,pyramidal L4
1814,pyramidal L4
625,pyramidal L4
509,pyramidal L4
1912,pyramidal L4
5919,pyramidal L4
4962,pyramidal L4
1991,pyramidal L4
2275,pyramidal L4
3493,pyramidal L4
1777,pyramidal L4
6073,pyramidal L4
3793,pyramidal L4
713,pyramidal L4
1712,pyramidal L4
5882,pyramidal L4
7081,pyramidal L4
3575,pyramidal L4
393,pyramidal L4
3804,pyramidal L4
1936,pyramidal L4
5987,pyramidal L4
2014,pyramidal L4
2091,pyramidal L4
3654,pyramidal L4
3566,pyramidal L4
1999,pyramidal L4
501,pyramidal L4
657,pyramidal L4
4996,pyramidal L4
5969,pyramidal L4
1902,pyramidal L4
3558,pyramidal L4
4717,pyramidal L4
1947,pyramidal L4
145,pyramidal L4
748,pyramidal L4
7079,pyramidal L4
5002,pyramidal L4
1982,pyramidal L4
395,pyramidal L4
3714,pyramidal L4
489,pyramidal L4
4951,pyramidal L4
3584,pyramidal L4
567,pyramidal L4
7086,pyramidal L4
5894,pyramidal L4
5140,pyramidal L4
2013,pyramidal L4
4789,pyramidal L4
2072,pyramidal L4
4880,pyramidal L4
2115,pyramidal L4
3698,pyramidal L4
6045,pyramidal L4
3730,pyramidal L4
2251,pyramidal L4
607,pyramidal L4
346,pyramidal L4
4968,pyramidal L4
582,pyramidal L4
360,pyramidal L4
1817,pyramidal L4
424,pyramidal L4
1907,pyramidal L4
5868,pyramidal L4
428,pyramidal L4
5967,pyramidal L4
2070,pyramidal L4
1740,pyramidal L4
5847,pyramidal L4
3719,pyramidal L4
499,pyramidal L4
7069,pyramidal L4
1849,pyramidal L4
7056,pyramidal L4
5896,pyramidal L4
3678,pyramidal L4
492,pyramidal L4
6001,pyramidal L4
691,pyramidal L4
696,pyramidal L4
86,pyramidal L4
1992,pyramidal L4
2036,pyramidal L4
5998,pyramidal L4
3682,pyramidal L4
1768,pyramidal L4
4832,pyramidal L4
405,pyramidal L4
1927,pyramidal L4
527,pyramidal L4
6039,pyramidal L4
5859,pyramidal L4
566,pyramidal L4
3671,pyramidal L4
2116,pyramidal L4
561,pyramidal L4
1934,pyramidal L4
4850,pyramidal L4
1788,pyramidal L4
2049,pyramidal L4
4894,pyramidal L4
2002,pyramidal L4
3778,pyramidal L4
6028,pyramidal L4
573,pyramidal L4
4974,pyramidal L4
4848,pyramidal L4
5873,pyramidal L4
6037,pyramidal L4
430,pyramidal L4
425,pyramidal L4
686,pyramidal L4
2031,pyramidal L4
135,pyramidal L4
570,pyramidal L4
594,pyramidal L4
5874,pyramidal L4
1898,pyramidal L4
5866,pyramidal L4
5869,pyramidal L4
5939,pyramidal L4
1951,pyramidal L4
3585,pyramidal L4
3717,pyramidal L4
547,pyramidal L4
2085,pyramidal L4
3705,pyramidal L4
1874,pyramidal L4
2004,pyramidal L4
1975,pyramidal L4
1944,pyramidal L4
3663,pyramidal L4
3637,pyramidal L4
5863,pyramidal L4
579,pyramidal L4
473,pyramidal L4
512,pyramidal L4
1789,pyramidal L4
5766,pyramidal L4
508,pyramidal L4
3767,pyramidal L4
2079,pyramidal L4
4706,pyramidal L4
636,pyramidal L4
5862,pyramidal L4
2111,pyramidal L4
519,pyramidal L4
1917,pyramidal L4
830,pyramidal L4
533,pyramidal L4
2032,pyramidal L4
3775,pyramidal L4
376,pyramidal L4
575,pyramidal L4
3681,pyramidal L4
1922,pyramidal L4
652,pyramidal L4
6002,pyramidal L4
1873,pyramidal L4
4730,pyramidal L4
4970,pyramidal L4
3711,pyramidal L4
467,pyramidal L4
464,pyramidal L4
2086,pyramidal L4
4841,pyramidal L4
540,pyramidal L4
557,pyramidal L4
6035,pyramidal L4
381,pyramidal L4
677,pyramidal L4
1761,pyramidal L4
68,pyramidal L4
3746,pyramidal L4
654,pyramidal L4
1994,pyramidal L4
147,pyramidal L4
3592,pyramidal L4
587,pyramidal L4
5889,pyramidal L4
4879,pyramidal L4
3777,pyramidal L4
7085,pyramidal L4
3718,pyramidal L4
2199,pyramidal L4
494,pyramidal L4
3732,pyramidal L4
4797,pyramidal L4
785,pyramidal L4
4918,pyramidal L4
3542,pyramidal L4
2037,pyramidal L4
5914,pyramidal L4
1894,pyramidal L4
5953,pyramidal L4
2035,pyramidal L4
273,pyramidal L4
5858,pyramidal L4
504,pyramidal L4
7070,pyramidal L4
5930,pyramidal L4
1959,pyramidal L4
1935,pyramidal L4
447,pyramidal L4
3613,pyramidal L4
4872,pyramidal L4
3791,pyramidal L4
448,pyramidal L4
1733,pyramidal L4
5955,pyramidal L4
5974,pyramidal L4
484,pyramidal L4
6072,pyramidal L4
2205,pyramidal L4
1957,pyramidal L4
500,pyramidal L4
2127,pyramidal L4
2042,pyramidal L4
1799,pyramidal L4
757,pyramidal L4
5984,pyramidal L4
4887,pyramidal L4
5952,pyramidal L4
3789,pyramidal L4
2059,pyramidal L4
624,pyramidal L4
4993,pyramidal L4
4840,pyramidal L4
4846,pyramidal L4
1925,pyramidal L4
524,pyramidal L4
3958,pyramidal L4
2092,pyramidal L4
5854,pyramidal L4
1871,pyramidal L4
2034,pyramidal L4
3708,pyramidal L4
1836,pyramidal L4
7053,pyramidal L4
4835,pyramidal L4
1881,pyramidal L4
5011,pyramidal L4
1958,pyramidal L4
4966,pyramidal L4
4936,pyramidal L4
3760,pyramidal L4
2106,pyramidal L4
2065,pyramidal L4
2331,pyramidal L4
5895,pyramidal L4
5775,pyramidal L4
3723,pyramidal L4
485,pyramidal L4
1779,pyramidal L4
496,pyramidal L4
1786,pyramidal L4
5890,pyramidal L4
4798,pyramidal L4
5900,pyramidal L4
2055,pyramidal L4
1890,pyramidal L4
1723,pyramidal L4
4816,pyramidal L4
369,pyramidal L4
110,pyramidal L4
3712,pyramidal L4
5004,pyramidal L4
626,pyramidal L4
3722,pyramidal L4
144,pyramidal L4
676,pyramidal L4
471,pyramidal L4
446,pyramidal L4
1952,pyramidal L4
562,pyramidal L4
1985,pyramidal L4
1787,pyramidal L4
5887,pyramidal L4
3647,pyramidal L4
522,pyramidal L4
7047,pyramidal L4
6038,pyramidal L4
544,pyramidal L4
1997,pyramidal L4
2307,pyramidal L4
1965,pyramidal L4
4834,pyramidal L4
612,pyramidal L4
3655,pyramidal L4
3551,pyramidal L4
2087,pyramidal L4
118,pyramidal L4
4767,pyramidal L4
583,pyramidal L4
738,pyramidal L4
4714,pyramidal L4
2120,pyramidal L4
2000,pyramidal L4
418,pyramidal L4
1763,pyramidal L4
682,pyramidal L4
600,pyramidal L4
1995,pyramidal L4
5825,pyramidal L4
3563,pyramidal L4
1770,pyramidal L4
3815,pyramidal L4
5828,pyramidal L4
2067,pyramidal L4
472,pyramidal L4
3582,pyramidal L4
1943,pyramidal L4
142,pyramidal L4
435,pyramidal L4
1983,pyramidal L4
640,pyramidal L4
615,pyramidal L4
4781,pyramidal L4
4992,pyramidal L4
1978,pyramidal L4
4732,pyramidal L4
4941,pyramidal L4
1960,pyramidal L4
506,pyramidal L4
710,pyramidal L4
633,pyramidal L4
2045,pyramidal L4
541,pyramidal L4
481,pyramidal L4
4776,pyramidal L4
667,pyramidal L4
4867,pyramidal L4
490,pyramidal L4
631,pyramidal L4
3562,pyramidal L4
610,pyramidal L4
3763,pyramidal L4
2053,pyramidal L4
1801,pyramidal L4
613,pyramidal L4
445,pyramidal L4
2193,pyramidal L4
2056,pyramidal L4
1824,pyramidal L4
5912,pyramidal L4
514,pyramidal L4
5842,pyramidal L4
2274,pyramidal L4
5995,pyramidal L4
4953,pyramidal L4
681,pyramidal L4
4778,pyramidal L4
495,pyramidal L4
4927,pyramidal L4
552,pyramidal L4
453,pyramidal L4
4779,pyramidal L4
5003,pyramidal L4
1784,pyramidal L4
5921,pyramidal L4
7046,pyramidal L4
3798,pyramidal L4
6029,pyramidal L4
598,pyramidal L4
388,pyramidal L4
1989,pyramidal L4
3686,pyramidal L4
2094,pyramidal L4
451,pyramidal L4
593,pyramidal L4
3704,pyramidal L4
3646,pyramidal L4
4902,pyramidal L4
1728,pyramidal L4
5949,pyramidal L4
2043,pyramidal L4
669,pyramidal L4
745,pyramidal L4
1986,pyramidal L4
2069,pyramidal L4
526,pyramidal L4
659,pyramidal L4
7049,pyramidal L4
5014,pyramidal L4
1762,pyramidal L4
6265,Pyramidal L5
2155,Pyramidal L5
820,Pyramidal L5
5017,Pyramidal L5
6145,Pyramidal L5
6144,Pyramidal L5
5273,Pyramidal L5
3588,Pyramidal L5
6057,Pyramidal L5
5087,Pyramidal L5
5235,Pyramidal L5
2387,Pyramidal L5
5009,Pyramidal L5
3980,Pyramidal L5
2256,Pyramidal L5
6276,Pyramidal L5
2134,Pyramidal L5
5049,Pyramidal L5
5066,Pyramidal L5
3811,Pyramidal L5
7335,Pyramidal L5
6269,Pyramidal L5
5225,Pyramidal L5
6277,Pyramidal L5
2321,Pyramidal L5
3953,Pyramidal L5
3871,Pyramidal L5
7652,Pyramidal L5
6359,Pyramidal L5
5254,Pyramidal L5
6423,Pyramidal L5
4964,Pyramidal L5
2090,Pyramidal L5
7072,Pyramidal L5
5041,Pyramidal L5
5229,Pyramidal L5
810,Pyramidal L5
3812,Pyramidal L5
6215,Pyramidal L5
6074,Pyramidal L5
6115,Pyramidal L5
7633,Pyramidal L5
2234,Pyramidal L5
2231,Pyramidal L5
3701,Pyramidal L5
5125,Pyramidal L5
673,Pyramidal L5
4079,Pyramidal L5
6089,Pyramidal L5
5409,Pyramidal L5
2190,Pyramidal L5
4128,Pyramidal L5
3813,Pyramidal L5
6149,Pyramidal L5
2405,Pyramidal L5
1823,Pyramidal L5
894,Pyramidal L5
6152,Pyramidal L5
2498,Pyramidal L5
5210,Pyramidal L5
6335,Pyramidal L5
5242,Pyramidal L5
6052,Pyramidal L5
6062,Pyramidal L5
2501,Pyramidal L5
3850,Pyramidal L5
5149,Pyramidal L5
6243,Pyramidal L5
4994,Pyramidal L5
5052,Pyramidal L5
3818,Pyramidal L5
3709,Pyramidal L5
6121,Pyramidal L5
7034,Pyramidal L5
3983,Pyramidal L5
3756,Pyramidal L5
6194,Pyramidal L5
6297,Pyramidal L5
4924,Pyramidal L5
7359,Pyramidal L5
4116,Pyramidal L5
3917,Pyramidal L5
2239,Pyramidal L5
7333,Pyramidal L5
3861,Pyramidal L5
720,Pyramidal L5
956,Pyramidal L5
7347,Pyramidal L5
5883,Pyramidal L5
3900,Pyramidal L5
4114,Pyramidal L5
7369,Pyramidal L5
5192,Pyramidal L5
6114,Pyramidal L5
4820,Pyramidal L5
5207,Pyramidal L5
5117,Pyramidal L5
6173,Pyramidal L5
5042,Pyramidal L5
4105,Pyramidal L5
3884,Pyramidal L5
3889,Pyramidal L5
5008,Pyramidal L5
3845,Pyramidal L5
4905,Pyramidal L5
6358,Pyramidal L5
3939,Pyramidal L5
2287,Pyramidal L5
6192,Pyramidal L5
6178,Pyramidal L5
6203,Pyramidal L5
6163,Pyramidal L5
3879,Pyramidal L5
4077,Pyramidal L5
4000,Pyramidal L5
2322,Pyramidal L5
6281,Pyramidal L5
786,Pyramidal L5
3894,Pyramidal L5
6123,Pyramidal L5
5183,Pyramidal L5
6155,Pyramidal L5
5088,Pyramidal L5
6061,Pyramidal L5
6291,Pyramidal L5
6095,Pyramidal L5
6137,Pyramidal L5
5022,Pyramidal L5
3892,Pyramidal L5
2151,Pyramidal L5
4019,Pyramidal L5
6093,Pyramidal L5
5160,Pyramidal L5
3855,Pyramidal L5
7344,Pyramidal L5
5116,Pyramidal L5
3846,Pyramidal L5
5347,Pyramidal L5
3938,Pyramidal L5
5114,Pyramidal L5
2192,Pyramidal L5
2265,Pyramidal L5
2271,Pyramidal L5
3841,Pyramidal L5
6016,Pyramidal L5
864,Pyramidal L5
6201,Pyramidal L5
5051,Pyramidal L5
3852,Pyramidal L5
6025,Pyramidal L5
3837,Pyramidal L5
3833,Pyramidal L5
7354,Pyramidal L5
7375,Pyramidal L5
5209,Pyramidal L5
3840,Pyramidal L5
6112,Pyramidal L5
3832,Pyramidal L5
6278,Pyramidal L5
3930,Pyramidal L5
821,Pyramidal L5
5162,Pyramidal L5
2325,Pyramidal L6
2400,Pyramidal L6
2573,Pyramidal L6
4008,Pyramidal L6
4028,Pyramidal L6
7381,Pyramidal L6
2367,Pyramidal L6
5188,Pyramidal L6
6239,Pyramidal L6
4112,Pyramidal L6
4154,Pyramidal L6
4090,Pyramidal L6
3985,Pyramidal L6
6417,Pyramidal L6
2429,Pyramidal L6
2583,Pyramidal L6
6271,Pyramidal L6
120,Pyramidal L6
6292,Pyramidal L6
2301,Pyramidal L6
4169,Pyramidal L6
2446,Pyramidal L6
4130,Pyramidal L6
898,Pyramidal L6
5245,Pyramidal L6
6316,Pyramidal L6
2572,Pyramidal L6
4097,Pyramidal L6
911,Pyramidal L6
3994,Pyramidal L6
849,Pyramidal L6
4106,Pyramidal L6
5170,Pyramidal L6
2346,Pyramidal L6
4015,Pyramidal L6
2401,Pyramidal L6
7362,Pyramidal L6
4091,Pyramidal L6
6246,Pyramidal L6
928,Pyramidal L6
6319,Pyramidal L6
4141,Pyramidal L6
886,Pyramidal L6
4145,Pyramidal L6
7654,Pyramidal L6
2194,Pyramidal L6
5226,Pyramidal L6
