CellID,ClusterID,ClusterName
770,1,eL2/3
771,6,Smc
772,0,HPC
773,8,Oligo
774,1,eL2/3
775,0,HPC
776,5,eL6-2
777,2,eL4
778,8,Oligo
779,1,eL2/3
780,2,eL4
781,8,Oligo
782,7,Astro-1
783,2,eL4
784,8,Oligo
785,1,eL2/3
786,5,eL6-2
787,11,Astro-2
788,4,eL6-1
789,2,eL4
790,2,eL4
791,5,eL6-2
792,7,Astro-1
793,1,eL2/3
794,5,eL6-2
795,13,PVALB
796,9,Micro
797,1,eL2/3
798,0,HPC
799,2,eL4
800,0,HPC
801,-1,NA
802,1,eL2/3
803,15,Reln
804,0,HPC
805,8,Oligo
806,8,Oligo
807,5,eL6-2
808,1,eL2/3
809,2,eL4
810,8,Oligo
811,11,Astro-2
812,2,eL4
813,1,eL2/3
814,3,eL5
815,0,HPC
816,11,Astro-2
817,7,Astro-1
818,8,Oligo
819,8,Oligo
820,2,eL4
821,9,Micro
822,0,HPC
823,5,eL6-2
824,2,eL4
825,11,Astro-2
826,8,Oligo
827,11,Astro-2
828,9,Micro
829,8,Oligo
830,5,eL6-2
831,11,Astro-2
832,0,HPC
833,-1,NA
834,2,eL4
835,1,eL2/3
836,5,eL6-2
837,0,HPC
838,9,Micro
839,8,Oligo
840,5,eL6-2
841,2,eL4
842,13,PVALB
843,2,eL4
844,0,HPC
845,8,Oligo
846,7,Astro-1
847,8,Oligo
848,4,eL6-1
849,0,HPC
850,8,Oligo
851,2,eL4
852,1,eL2/3
853,1,eL2/3
854,1,eL2/3
855,3,eL5
856,10,Endo
857,-1,NA
858,7,Astro-1
859,5,eL6-2
860,0,HPC
861,8,Oligo
862,-1,NA
863,1,eL2/3
864,10,Endo
865,-1,NA
866,10,Endo
867,5,eL6-2
868,8,Oligo
869,14,SST
870,1,eL2/3
871,0,HPC
872,9,Micro
873,6,Smc
874,0,HPC
875,8,Oligo
876,11,Astro-2
877,4,eL6-1
878,2,eL4
879,12,VIP
880,5,eL6-2
881,2,eL4
882,9,Micro
883,0,HPC
884,-1,NA
885,1,eL2/3
886,9,Micro
887,11,Astro-2
888,0,HPC
889,11,Astro-2
890,3,eL5
891,7,Astro-1
892,3,eL5
893,1,eL2/3
894,7,Astro-1
895,2,eL4
896,1,eL2/3
897,0,HPC
898,5,eL6-2
899,7,Astro-1
900,0,HPC
901,5,eL6-2
902,11,Astro-2
903,5,eL6-2
904,14,SST
905,2,eL4
906,2,eL4
907,0,HPC
908,5,eL6-2
909,1,eL2/3
910,11,Astro-2
911,2,eL4
912,5,eL6-2
913,10,Endo
914,11,Astro-2
915,2,eL4
916,11,Astro-2
917,1,eL2/3
918,1,eL2/3
919,8,Oligo
920,4,eL6-1
921,7,Astro-1
922,-1,NA
923,0,HPC
924,8,Oligo
925,2,eL4
926,8,Oligo
927,5,eL6-2
928,11,Astro-2
929,0,HPC
930,11,Astro-2
931,2,eL4
932,1,eL2/3
933,11,Astro-2
934,10,Endo
935,5,eL6-2
936,5,eL6-2
937,0,HPC
938,-1,NA
939,1,eL2/3
940,2,eL4
941,-1,NA
942,10,Endo
943,-1,NA
944,2,eL4
945,14,SST
946,5,eL6-2
947,9,Micro
948,0,HPC
949,5,eL6-2
950,8,Oligo
951,2,eL4
952,1,eL2/3
953,1,eL2/3
954,8,Oligo
955,1,eL2/3
956,-1,NA
957,2,eL4
958,1,eL2/3
959,2,eL4
960,1,eL2/3
961,0,HPC
962,10,Endo
963,2,eL4
964,-1,NA
965,0,HPC
966,-1,NA
967,8,Oligo
968,5,eL6-2
969,5,eL6-2
970,13,PVALB
971,2,eL4
972,-1,NA
