"","cell_ID","cell_types","cell_subtypes"
"354",1.26995006371731e+38,"L6 CT","L6_CT_1"
"355",1.27002158799706e+38,"L2/3 IT","L23_IT_3"
"356",1.27006791239798e+38,"L6 CT","L6_CT_2"
"357",1.27037433767842e+38,"Oligo","Oligo_1"
"358",1.27119144142856e+38,"OPC","OPC"
"359",1.27145353525167e+38,"Endo","Endo"
"360",1.27223399282946e+38,"Astro","Astro_1"
"361",1.27710458928832e+38,"L6 IT","L6_IT_3"
"362",1.27715716906422e+38,"L6 CT","L6_CT_5"
"363",1.27723068341707e+38,"L6b","L6b_1"
"364",1.27991794392076e+38,"L6b","L6b_1"
"365",1.28082092552575e+37,"VLMC","VLMC"
"366",1.28180761668867e+38,"L2/3 IT","L23_IT_3"
"367",1.28720180500312e+38,"L5 IT","L5_IT_1"
"368",1.28842526942422e+37,"L2/3 IT","L23_IT_2"
"369",1.28969708285134e+37,"Oligo","Oligo_1"
"370",1.29024970164087e+38,"L4/5 IT","L45_IT_4"
"371",1.29035775542107e+38,"Astro","Astro_1"
"372",1.29170116981054e+38,"Endo","Endo"
"373",1.29198573241345e+38,"L6 IT","L6_IT_1"
"374",1.29199760350373e+38,"L2/3 IT","L23_IT_3"
"375",1.29202959382165e+38,"Endo","Endo"
"376",1.29231280325881e+38,"L6 IT","L6_IT_1"
"377",1.29339301557074e+38,"L5 IT","L5_IT_1"
"378",1.29412560628038e+38,"L6 CT","L6_CT_3"
"379",1.29491918893727e+38,"Endo","Endo"
"380",1.29627261031043e+38,"L4/5 IT","L45_IT_SSp_2"
"381",1.29642054764501e+38,"L2/3 IT","L23_IT_3"
"382",1.29858408952234e+38,"L5 IT","L5_IT_4"
"383",1.29867948549066e+38,"L5 IT","L5_IT_4"
"384",1.29926813853631e+38,"L2/3 IT","L23_IT_4"
"385",1.3008573815543e+38,"L6 CT","L6_CT_5"
"386",1.3013299853912e+38,"L4/5 IT","L45_IT_2"
"387",1.30160610354478e+38,"L2/3 IT","L23_IT_4"
"388",1.30414824374681e+38,"Vip","Vip_3"
"389",1.30443297775195e+37,"L5 IT","L5_IT_4"
"390",1.30490781984404e+37,"L4/5 IT","L45_IT_SSp_1"
"391",1.30639564558457e+38,"Vip","Vip_8"
"392",1.30756986537652e+38,"Oligo","Oligo_2"
"393",1.31009446476050e+37,"Micro","Micro_2"
"394",1.31164727439642e+38,"SMC","SMC"
"395",1.31175739338842e+38,"L4/5 IT","L45_IT_2"
"396",1.31216852901315e+38,"L2/3 IT","L23_IT_2"
"397",1.31283578732469e+38,"L2/3 IT","L23_IT_3"
"398",1.31418191059821e+38,"L4/5 IT","L45_IT_2"
"399",1.31686178370745e+38,"Micro","Micro_1"
"400",1.31807626298497e+38,"L4/5 IT","L45_IT_2"
"401",1.32209683893575e+38,"L2/3 IT","L23_IT_4"
"402",1.32227606346906e+38,"Astro","Astro_1"
"403",1.32551182648912e+38,"L4/5 IT","L45_IT_2"
"404",1.32705794173055e+38,"L5 ET","L5_ET_5"
"405",1.32738250723708e+38,"Astro","Astro_1"
"406",1.32759160998681e+38,"L5/6 NP","L56_NP_1"
"407",1.32813513448649e+38,"L5 IT","L5_IT_4"
"408",1.3281670715101e+38,"Oligo","Oligo_1"
"409",1.32833308176574e+38,"L4/5 IT","L45_IT_SSp_1"
"410",1.32854254935806e+38,"Oligo","Oligo_2"
"411",1.32915078005147e+38,"Pvalb","Pvalb_4"
"412",1.32990657909805e+37,"L4/5 IT","L45_IT_5"
"413",1.33055263556084e+38,"SMC","SMC"
"414",1.33237278658264e+38,"Astro","Astro_1"
"415",1.33281403379129e+38,"Peri","Peri"
"416",1.33345254455507e+38,"L5 IT","L5_IT_1"
"417",1.33384939461259e+37,"L5 IT","L5_IT_1"
"418",1.3339177300907e+38,"L6 IT","L6_IT_3"
"419",1.33552696675826e+38,"L2/3 IT","L23_IT_3"
"420",1.3362775284919e+38,"L4/5 IT","L45_IT_2"
"421",1.33702526405299e+37,"L4/5 IT","L45_IT_2"
"422",1.3377709586635e+37,"L4/5 IT","L45_IT_SSp_1"
"423",1.34001282522889e+38,"L4/5 IT","L45_IT_2"
"424",1.3401226856033e+38,"Endo","Endo"
"425",1.34031750299236e+38,"L2/3 IT","L23_IT_3"
